invivo_cell_type,invivo_n,invivo_mean_prop,explant_cell_type,explant_n,explant_pct,harmonized_ct,_merge,ratio_explant_to_invivo
EVT,116,0.036539569301666075,EVT_2,1964.0,2.63,EVT,both,0.7197676519630134
EVT-progenitor,120,0.0292477050058831,iEVT,1090.0,1.46,EVT-progenitor,both,0.4991844658260622
EVT1,672,0.006258406199540133,EVT_1,513.0,0.69,EVT1,both,1.1025171233703257
EVT2,13630,0.10399392246103283,,0.0,0.0,,left_only,0.0
EVT3,3212,0.024517449981068723,,0.0,0.0,,left_only,0.0
Endothelial,112,0.032070051038701634,Endo_f,11087.0,14.85,Endothelial,both,4.630488421137607
Endothelial_cells,2667,0.018977349994192625,,0.0,0.0,,left_only,0.0
Erythroblasts,66,0.020023891857717368,,0.0,0.0,,left_only,0.0
FIB1,222,0.06285577285974833,F,10265.0,13.74,FIB1,both,2.1859567347391318
FIB1,222,0.06285577285974833,F_p,613.0,0.82,FIB1,both,0.13045738882722618
FIB2,830,0.22348915776619102,F_sm,164.0,0.22,FIB2,both,0.009843877984906933
Fibroblast1,6655,0.047284232084875526,,0.0,0.0,,left_only,0.0
Fibroblast2,21816,0.1752650150515967,,0.0,0.0,,left_only,0.0
Hofbauer cells,2661,0.04502592255629762,HBC,16697.0,22.36,Hofbauer cells,both,4.966028174557099
Hofbauer cells,2661,0.04502592255629762,HBC_p,141.0,0.19,Hofbauer cells,both,0.042197913826737425
Maternal fibroblast,336,0.003844935058448255,,0.0,0.0,,left_only,0.0
STB,9745,0.09794446932822674,PV,7706.0,10.32,STB,both,1.0536582688927658
STB-progenitor,86,0.022909542772673135,PAMM1,4733.0,6.34,STB-progenitor,both,2.7674057325851353
maternal macrophages,1549,0.014721840568176419,,0.0,0.0,,left_only,0.0
myeloid_unknown,196,0.013309236529186811,,0.0,0.0,,left_only,0.0
unknown1,234,0.0078023407022106,,0.0,0.0,,left_only,0.0
unknown2,1242,0.008293623293993678,,0.0,0.0,,left_only,0.0
unknown3,864,0.0318238440058965,,0.0,0.0,,left_only,0.0
vCTB,941,0.2622853742018325,VCT_fusing,10897.0,14.59,vCTB,both,0.5562643378190344
vCTB,941,0.2622853742018325,VCT,4437.0,5.94,vCTB,both,0.22647088188108735
vCTB,941,0.2622853742018325,VCT_p,2449.0,3.28,vCTB,both,0.12505462837878223
vCTB,941,0.2622853742018325,VCT_CCC,1929.0,2.58,vCTB,both,0.09836614061501774
vCTB1,2264,0.037299624750370915,,0.0,0.0,,left_only,0.0
vCTB2,53377,0.3261469906033487,,0.0,0.0,,left_only,0.0
vCTB3,2819,0.028778821541783184,,0.0,0.0,,left_only,0.0
vCTBp,15828,0.10257557273184496,,0.0,0.0,,left_only,0.0
