"infection","hpi","NK_like_strict","n","frac"
"Lm","24h",FALSE,17773,0.999718753515581
"Lm","24h",TRUE,5,0.000281246484418945
"Lm","48h",FALSE,10459,1
"Pf","24h",FALSE,27098,0.999926199261993
"Pf","24h",TRUE,2,7.38007380073801e-05
"Pf","48h",FALSE,858,1
"Tg","24h",FALSE,16805,0.99994049744139
"Tg","24h",TRUE,1,5.95025586100202e-05
"Tg","48h",FALSE,11292,1
"UI","24h",FALSE,51341,0.999941570582736
"UI","24h",TRUE,3,5.84294172639452e-05
"UI","48h",FALSE,23340,0.99995715693415
"UI","48h",TRUE,1,4.28430658497922e-05
