"PC","stdev","var_explained","cumvar","hvg","auto_elbow_pc"
1,13.8128411529045,0.221739073736847,0.221739073736847,3000,10
2,10.3363256731918,0.124167678955661,0.345906752692508,3000,10
3,9.82225948826602,0.112124107910697,0.458030860603206,3000,10
4,7.58888580629896,0.066931757632176,0.524962618235382,3000,10
5,6.46557289100105,0.0485836588393327,0.573546277074714,3000,10
6,6.03487755061632,0.0423265741957915,0.615872851270506,3000,10
7,5.57681538730517,0.0361450416999005,0.652017892970406,3000,10
8,5.26930267029245,0.0322687754319897,0.684286668402396,3000,10
9,4.49055839020094,0.0234356438679238,0.70772231227032,3000,10
10,4.3501488123256,0.0219929973392103,0.72971530960953,3000,10
11,4.1955572630524,0.0204576384947319,0.750172948104262,3000,10
12,3.66409847238616,0.0156030847585353,0.765776032862797,3000,10
13,3.62171842884475,0.015244232366485,0.781020265229282,3000,10
14,3.2899673926605,0.0125793841929784,0.793599649422261,3000,10
15,3.16550483920076,0.0116456077400446,0.805245257162305,3000,10
16,3.11493328907575,0.0112764836396955,0.816521740802001,3000,10
17,3.06376128508821,0.0109090276366005,0.827430768438601,3000,10
18,2.89732442765019,0.00975596986396564,0.837186738302567,3000,10
19,2.75461143108766,0.00881854397379863,0.846005282276366,3000,10
20,2.59475321213829,0.00782471107979832,0.853829993356164,3000,10
21,2.55522504361098,0.00758812549364656,0.861418118849811,3000,10
22,2.51271720622766,0.00733775862250681,0.868755877472317,3000,10
23,2.48867340922539,0.0071980027642546,0.875953880236572,3000,10
24,2.43024771216266,0.00686400008159003,0.882817880318162,3000,10
25,2.35060533022182,0.00642148729053679,0.889239367608699,3000,10
26,2.32755974071156,0.00629619061214613,0.895535558220845,3000,10
27,2.24223482891863,0.00584303358468499,0.90137859180553,3000,10
28,2.2231384167117,0.00574393082675123,0.907122522632281,3000,10
29,2.20436491557676,0.00564733010659912,0.91276985273888,3000,10
30,2.16788738193885,0.00546197400989753,0.918231826748778,3000,10
31,2.1537478516581,0.00539095750672387,0.923622784255502,3000,10
32,2.10496101840557,0.0051494910688838,0.928772275324385,3000,10
33,2.07818219485075,0.00501930322902017,0.933791578553406,3000,10
34,2.01400248309673,0.0047140718482633,0.938505650401669,3000,10
35,1.98955980632522,0.00460034276231921,0.943105993163988,3000,10
36,1.95733196454139,0.00445251274268045,0.947558505906669,3000,10
37,1.9359273508147,0.00435566334584466,0.951914169252513,3000,10
38,1.91752793007781,0.00427326269007698,0.95618743194259,3000,10
39,1.88853368248894,0.00414501077712335,0.960332442719714,3000,10
40,1.86632764567254,0.00404810690029633,0.96438054962001,3000,10
41,1.83847431447313,0.00392817952327275,0.968308729143283,3000,10
42,1.8111901652993,0.00381245122948851,0.972121180372771,3000,10
43,1.78689477172544,0.00371085641443213,0.975832036787203,3000,10
44,1.7823640179562,0.00369206217773147,0.979524098964935,3000,10
45,1.75027925046616,0.00356033515549811,0.983084434120433,3000,10
46,1.73872131234227,0.00351346918673697,0.98659790330717,3000,10
47,1.72605719827665,0.00346247431723058,0.9900603776244,3000,10
48,1.70789915818845,0.00339000737509881,0.993450384999499,3000,10
49,1.68199731531059,0.0032879620076479,0.996738347007147,3000,10
50,1.67525445006934,0.00326165299285291,1,3000,10
