"infection","cell_type","n","frac"
"Lm","EVT_1",94,0.00332896554166519
"Lm","EVT_2",446,0.0157948790593902
"Lm","Endo_f",5831,0.206502107164359
"Lm","F",3792,0.134291886531855
"Lm","F_p",257,0.00910153344902079
"Lm","F_sm",54,0.00191238446010554
"Lm","HBC",7417,0.262669547048199
"Lm","HBC_p",17,0.000602046959662854
"Lm","PAMM1",1879,0.0665438963062648
"Lm","PV",3596,0.127350639232213
"Lm","VCT",1179,0.0417537273789709
"Lm","VCT_CCC",592,0.0209654000070829
"Lm","VCT_fusing",2578,0.0912986507065198
"Lm","VCT_p",223,0.00789743952969508
"Lm","iEVT",282,0.00998689662499557
"Pf","EVT_1",57,0.00203877244438086
"Pf","EVT_2",389,0.0139137277344588
"Pf","Endo_f",3509,0.125509693111095
"Pf","F",5614,0.200801201802704
"Pf","F_p",349,0.0124830102296302
"Pf","F_sm",393,0.0140567994849417
"Pf","HBC",6242,0.223263466628514
"Pf","HBC_p",6,0.000214607625724301
"Pf","PAMM1",1501,0.0536876743686959
"Pf","PV",3083,0.11027255168467
"Pf","VCT",780,0.0278989913441591
"Pf","VCT_CCC",1045,0.037377494813649
"Pf","VCT_fusing",3745,0.133950926389584
"Pf","VCT_p",928,0.0331926461120252
"Pf","iEVT",317,0.0113384362257672
"Tg","EVT_1",86,0.00306071606520037
"Tg","EVT_2",717,0.0255178304505659
"Tg","Endo_f",3078,0.109545163356823
"Tg","F",4388,0.156167698768596
"Tg","F_p",370,0.0131681970246993
"Tg","F_sm",252,0.00896860986547085
"Tg","HBC",9801,0.348814862267777
"Tg","HBC_p",137,0.00487579187130757
"Tg","PAMM1",1531,0.0544878639049043
"Tg","PV",2230,0.0793650793650794
"Tg","VCT",1724,0.0613566801907609
"Tg","VCT_CCC",744,0.026478752936152
"Tg","VCT_fusing",2364,0.0841341020713218
"Tg","VCT_p",503,0.0179016300092533
"Tg","iEVT",173,0.00615702185208912
"UI","EVT_1",513,0.0068688491664993
"UI","EVT_2",1964,0.0262971145477673
"UI","Endo_f",11087,0.148450157327442
"UI","F",10265,0.137443931177613
"UI","F_p",613,0.00820780611903327
"UI","F_sm",164,0.00219588940215572
"UI","HBC",16697,0.223565642364598
"UI","HBC_p",141,0.00188792930307291
"UI","PAMM1",4733,0.0633728325634331
"UI","PV",7706,0.103180022762268
"UI","VCT",4437,0.0594095199839325
"UI","VCT_CCC",1929,0.0258284796143804
"UI","VCT_fusing",10897,0.145906139117627
"UI","VCT_p",2449,0.0327910557675571
"UI","iEVT",1090,0.0145946307826203
