"term","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F.","cell_type","response"
"infection",0.444703329626392,0.148234443208797,3,20.8332168861087,0.936000844323717,0.440986055971522,"EVT_1","EA_proxy"
"hpi",0.00126999322702317,0.00126999322702317,1,16.1083984296936,0.00801915335631347,0.929749016980673,"EVT_1","EA_proxy"
"infection:hpi",0.16391467246276,0.0819573362313798,2,16.1928701756419,0.517505474777144,0.605537247190044,"EVT_1","EA_proxy"
"infection",0.350013633042036,0.116671211014012,3,23.6839969156746,0.890022804476362,0.460651958404229,"EVT_2","EA_proxy"
"hpi",0.0231862979264397,0.0231862979264397,1,23.8716945580918,0.176875972457644,0.677833776558206,"EVT_2","EA_proxy"
"infection:hpi",0.727974598714557,0.242658199571519,3,21.346197462186,1.85111073618572,0.168374716690611,"EVT_2","EA_proxy"
"infection",2.52670416410399,0.842234721367998,3,25.3303584234037,3.03578440254373,0.0475370588016683,"Endo_f","EA_proxy"
"hpi",0.0149488151051249,0.0149488151051249,1,22.95415415113,0.0538821050489793,0.818497819330447,"Endo_f","EA_proxy"
"infection:hpi",2.57086542996949,0.856955143323162,3,21.681896571915,3.08884327821887,0.0484556012861505,"Endo_f","EA_proxy"
"infection",2.19178085170257,0.730593617234188,3,21.188840030239,2.62241941014225,0.0771367057280676,"F","EA_proxy"
"hpi",0.393400521893098,0.393400521893098,1,19.9616051102687,1.41208619981942,0.2486566411598,"F","EA_proxy"
"infection:hpi",1.06036452883116,0.353454842943721,3,19.5497824457661,1.2687037210281,0.312632527663999,"F","EA_proxy"
"infection",0.364204801864917,0.121401600621639,3,20.0590092275519,0.569275177814812,0.641667973710616,"F_p","EA_proxy"
"hpi",0.0220664607564989,0.0220664607564989,1,19.2148649332733,0.103473828240947,0.751173110603272,"F_p","EA_proxy"
"infection:hpi",0.428314779002897,0.142771593000966,3,18.5011183274142,0.669483133470663,0.581444395286089,"F_p","EA_proxy"
"infection",1.44849521789158,0.482831739297192,3,23.0072550500857,1.52384072148529,0.234976509337523,"HBC","EA_proxy"
"hpi",1.32199181669369,1.32199181669369,1,18.5961779924249,4.17227120710927,0.0555292450628662,"HBC","EA_proxy"
"infection:hpi",1.20552030634785,0.401840102115951,3,17.9562160164543,1.26822713026574,0.315204815981842,"HBC","EA_proxy"
"infection",0.644879373492388,0.214959791164129,3,24.8785895726363,0.476577770834182,0.701435374296185,"PAMM1","EA_proxy"
"hpi",1.69078006726923,1.69078006726923,1,24.4014596817286,3.7485531180796,0.0645191440459293,"PAMM1","EA_proxy"
"infection:hpi",0.473744960358822,0.157914986786274,3,21.0645024857975,0.350106277905941,0.789462200278598,"PAMM1","EA_proxy"
"infection",3.5157101674439,1.17190338914797,3,23.7516764809394,6.46913290532607,0.00233685158991818,"PV","EA_proxy"
"hpi",0.138909185873725,0.138909185873725,1,20.4268551609572,0.766805517851701,0.391388203662284,"PV","EA_proxy"
"infection:hpi",2.88501194552387,0.961670648507956,3,19.2750674764971,5.30860759850877,0.00777558597270093,"PV","EA_proxy"
"infection",1.36626992308022,0.455423307693407,3,18.7461097832376,7.98489389946693,0.00124204496237268,"VCT","EA_proxy"
"hpi",0.438180123272644,0.438180123272644,1,17.8059568383629,7.68257077334923,0.0126636999739443,"VCT","EA_proxy"
"infection:hpi",0.16792580021108,0.0559752667370268,3,17.5464804072484,0.981409072261212,0.424068939645929,"VCT","EA_proxy"
"infection",0.747752429166475,0.249250809722158,3,23.9033844457795,1.35317260514946,0.280931726390622,"VCT_CCC","EA_proxy"
"hpi",1.51023329920639,1.51023329920639,1,21.7457898196411,8.19899574307741,0.00909841392390942,"VCT_CCC","EA_proxy"
"infection:hpi",2.1105155581198,0.703505186039932,3,20.0167281671811,3.81930131497253,0.0258723722405619,"VCT_CCC","EA_proxy"
"infection",5.62521554180873,1.87507184726958,3,24.0635837241633,6.247865265033,0.00273326012825774,"VCT_fusing","EA_proxy"
"hpi",0.00678565245138898,0.00678565245138898,1,21.8261221830683,0.022610249475696,0.88185600502828,"VCT_fusing","EA_proxy"
"infection:hpi",2.36724197019341,0.789080656731137,3,19.8939925184954,2.62926971767984,0.0784559052274254,"VCT_fusing","EA_proxy"
"infection",0.428418127647202,0.142806042549067,3,24.5316863017582,0.881453730477042,0.464329644279941,"VCT_p","EA_proxy"
"hpi",0.220330716659786,0.220330716659786,1,21.4878399434753,1.35996578766419,0.256324332131763,"VCT_p","EA_proxy"
"infection:hpi",0.247044033211989,0.0823480110706629,3,20.5553568120465,0.508283545009382,0.680932080932566,"VCT_p","EA_proxy"
"infection",0.580968702568634,0.193656234189545,3,26.9999999996275,1.1728430477697,0.338409647275309,"iEVT","EA_proxy"
"hpi",0.499849682557954,0.499849682557954,1,26.9999999993782,3.0272468509544,0.0932658300146177,"iEVT","EA_proxy"
"infection:hpi",0.019939240677946,0.00664641355931535,3,26.9999999997799,0.0402527704221262,0.988982541757179,"iEVT","EA_proxy"
"infection",5.05027930400478,1.68342643466826,3,21.9999999993681,2.47752556919197,0.0879964966918634,"HBC_p","EA_proxy"
"hpi",0.454588914027542,0.454588914027542,1,21.9999999994552,0.66902576482137,0.422162454516688,"HBC_p","EA_proxy"
"infection:hpi",1.00829373798064,0.50414686899032,2,21.9999999996799,0.741960998609203,0.487722249315044,"HBC_p","EA_proxy"
"infection",1.36272991021656,0.45424330340552,3,16.7708935028227,1.57357915639197,0.232971712269052,"EVT_1","FLT1_minus_PGF"
"hpi",3.87953584186942,3.87953584186942,1,14.9262953876185,13.4393984269513,0.00231028193700862,"EVT_1","FLT1_minus_PGF"
"infection:hpi",1.43185006734909,0.715925033674545,2,14.9769981804088,2.48009096024859,0.117391512538001,"EVT_1","FLT1_minus_PGF"
"infection",0.177145221107686,0.0590484070358955,3,14.3155265484547,0.075252300782217,0.972335556940435,"EVT_2","FLT1_minus_PGF"
"hpi",13.7116553982837,13.7116553982837,1,15.9302897243141,17.4743683707929,0.000713273155547979,"EVT_2","FLT1_minus_PGF"
"infection:hpi",0.0990522174455729,0.033017405815191,3,13.0890219883012,0.0420779471991999,0.98797151535214,"EVT_2","FLT1_minus_PGF"
"infection",4.36484756697648,1.45494918899216,3,19.3959494329115,3.7621637481271,0.0278473924995314,"Endo_f","FLT1_minus_PGF"
"hpi",0.050842859110888,0.050842859110888,1,19.1929078539232,0.131467932244847,0.720876967077004,"Endo_f","FLT1_minus_PGF"
"infection:hpi",1.06791359766053,0.355971199220178,3,19.1116520696785,0.92045959488878,0.449737451601054,"Endo_f","FLT1_minus_PGF"
"infection",1.34795880508676,0.449319601695586,3,22.4149810082244,3.57228405853091,0.0300382492368021,"F","FLT1_minus_PGF"
"hpi",0.524096410428439,0.524096410428439,1,20.8502189062089,4.16679184491759,0.0540829656378668,"F","FLT1_minus_PGF"
"infection:hpi",0.943299152524295,0.314433050841432,3,20.3041161100992,2.49987797273328,0.0883909503103934,"F","FLT1_minus_PGF"
"infection",0.056608861538309,0.0188696205127697,3,20.1113738266578,0.280701918367233,0.838681440393461,"F_p","FLT1_minus_PGF"
"hpi",0.795640681293316,0.795640681293316,1,19.4769519443109,11.8358429847016,0.00266656747739629,"F_p","FLT1_minus_PGF"
"infection:hpi",0.839407070288614,0.279802356762871,3,18.957603023838,4.16230195270009,0.0200688774619417,"F_p","FLT1_minus_PGF"
"infection",0.166132221626719,0.0553774072089062,3,19.7379115063393,4.98800287161514,0.00974692879083639,"HBC","FLT1_minus_PGF"
"hpi",1.34273323901297e-05,1.34273323901297e-05,1,19.0888050678491,0.00120943857605032,0.972618664424043,"HBC","FLT1_minus_PGF"
"infection:hpi",0.0563712216143034,0.0187904072047678,3,19.0012797900628,1.69250620099682,0.20238385787155,"HBC","FLT1_minus_PGF"
"infection",0.306712144198459,0.102237381399486,3,22.1626646558535,2.54785229877365,0.0817833865049917,"PAMM1","FLT1_minus_PGF"
"hpi",0.187101868986436,0.187101868986436,1,21.9194656668927,4.66275564256903,0.0420350870441641,"PAMM1","FLT1_minus_PGF"
"infection:hpi",0.742030075680011,0.247343358560004,3,20.3335834184982,6.16403057342652,0.00375523927964381,"PAMM1","FLT1_minus_PGF"
"infection",1.00911095768277,0.33637031922759,3,19.793920348732,2.81255452257811,0.0658823866611667,"PV","FLT1_minus_PGF"
"hpi",1.41255369847438,1.41255369847438,1,19.1082400258311,11.8110429664292,0.00274712825726083,"PV","FLT1_minus_PGF"
"infection:hpi",1.09970418868454,0.366568062894846,3,18.8856028950524,3.06505242643011,0.0531289620605745,"PV","FLT1_minus_PGF"
"infection",2.66148492615826,0.887161642052752,3,18.2887846571857,5.93980645459024,0.00519981311290057,"VCT","FLT1_minus_PGF"
"hpi",0.110113098887356,0.110113098887356,1,17.9610928091172,0.737239376121676,0.401860495792396,"VCT","FLT1_minus_PGF"
"infection:hpi",3.15535616667519,1.05178538889173,3,17.8710609807226,7.04201054875107,0.00252275207204905,"VCT","FLT1_minus_PGF"
"infection",0.839533610822999,0.279844536941,3,21.4661844670115,0.647493749908281,0.593049257804945,"VCT_CCC","FLT1_minus_PGF"
"hpi",3.14215612216987,3.14215612216987,1,20.2559852434678,7.27020249378667,0.013790550526878,"VCT_CCC","FLT1_minus_PGF"
"infection:hpi",4.33711611342576,1.44570537114192,3,19.5834465852901,3.3450186387615,0.0402486745892898,"VCT_CCC","FLT1_minus_PGF"
"infection",0.566127179344933,0.188709059781644,3,19.7994743362968,0.323323915623587,0.808440657731837,"VCT_fusing","FLT1_minus_PGF"
"hpi",13.9388584302494,13.9388584302494,1,19.3913460606962,23.8820875489808,9.68970946347717e-05,"VCT_fusing","FLT1_minus_PGF"
"infection:hpi",7.04457549761242,2.34819183253747,3,19.2364190040971,4.02326511938454,0.0223227047445883,"VCT_fusing","FLT1_minus_PGF"
"infection",1.74459010689427,0.581530035631423,3,20.7849620317145,2.23864390388633,0.113892031798128,"VCT_p","FLT1_minus_PGF"
"hpi",0.751052370643303,0.751052370643303,1,18.7376744599617,2.89123296824112,0.10560127587048,"VCT_p","FLT1_minus_PGF"
"infection:hpi",1.9455565943214,0.648518864773801,3,18.3281096655055,2.49652247386464,0.091966538064132,"VCT_p","FLT1_minus_PGF"
"infection",1.16901371731389,0.389671239104629,3,20.6567079419556,0.268352186138804,0.847446288435975,"iEVT","FLT1_minus_PGF"
"hpi",11.2180496632953,11.2180496632953,1,18.4531473604482,7.72545635720027,0.0121705111498944,"iEVT","FLT1_minus_PGF"
"infection:hpi",5.85809087642558,1.95269695880853,3,17.8580563030606,1.34475025400107,0.291520656048003,"iEVT","FLT1_minus_PGF"
"infection",0.0617146325600234,0.0205715441866745,3,21.9999999992947,0.340454177845462,0.796280291120602,"HBC_p","FLT1_minus_PGF"
"hpi",0.119160217804691,0.119160217804691,1,21.9999999993868,1.97207334638793,0.174188960666759,"HBC_p","FLT1_minus_PGF"
"infection:hpi",0.041579915271248,0.020789957635624,2,21.9999999993074,0.344068868629865,0.712626779211564,"HBC_p","FLT1_minus_PGF"
"infection",0.0448822735610082,0.0149607578536694,3,17.1555773986852,10.0739998487604,0.000465506014090621,"EVT_1","Angio_stress_score"
"hpi",0.0621603359560681,0.0621603359560681,1,16.2280565478592,41.8563832892155,7.22666432650014e-06,"EVT_1","Angio_stress_score"
"infection:hpi",0.00252671755958255,0.00126335877979128,2,16.2568806346317,0.850697289604612,0.445275305808406,"EVT_1","Angio_stress_score"
"infection",0.0226826635233937,0.00756088784113124,3,19.2618459250558,0.615335454428427,0.613354433370787,"EVT_2","Angio_stress_score"
"hpi",0.0837373422710002,0.0837373422710002,1,20.4777455713181,6.81488161729501,0.0165414064385748,"EVT_2","Angio_stress_score"
"infection:hpi",0.11892525296236,0.0396417509874532,3,18.0952557287807,3.22620509267513,0.0469583887175428,"EVT_2","Angio_stress_score"
"infection",1.07473742460933,0.358245808203112,3,27.999999999529,9.03433728471604,0.000240345129772654,"Endo_f","Angio_stress_score"
"hpi",0.0882411813258651,0.0882411813258651,1,27.9999999995853,2.22528938579421,0.146949087105595,"Endo_f","Angio_stress_score"
"infection:hpi",0.0569008383095176,0.0189669461031725,3,27.9999999995558,0.478313449685754,0.699941886878193,"Endo_f","Angio_stress_score"
"infection",0.583955026011225,0.194651675337075,3,22.8160651653587,2.87078463060839,0.0586006268596434,"F","Angio_stress_score"
"hpi",0.736489530237004,0.736489530237004,1,20.6570082805842,10.8619811278125,0.00349900538493775,"F","Angio_stress_score"
"infection:hpi",0.097380388488186,0.032460129496062,3,19.8666674726058,0.47873228269669,0.700703702497077,"F","Angio_stress_score"
"infection",0.292148564351435,0.0973828547838115,3,21.289365938901,2.24827592106769,0.112047435275807,"F_p","Angio_stress_score"
"hpi",0.852288752819289,0.852288752819289,1,20.1923828657064,19.6767725182663,0.000248936879248318,"F_p","Angio_stress_score"
"infection:hpi",0.0456062006181267,0.0152020668727089,3,19.1835521821376,0.350969798289934,0.788899025857435,"F_p","Angio_stress_score"
"infection",0.962551621330853,0.320850540443618,3,21.3665754529049,4.60241037323274,0.0123650471334714,"HBC","Angio_stress_score"
"hpi",0.18497208705797,0.18497208705797,1,16.3953558703605,2.6533146899396,0.12239498088969,"HBC","Angio_stress_score"
"infection:hpi",0.0554169929088466,0.0184723309696155,3,15.7358351193562,0.26497461264924,0.849609364891312,"HBC","Angio_stress_score"
"infection",0.788106050797999,0.262702016932666,3,21.1441939892733,3.72834049681368,0.0270071467292383,"PAMM1","Angio_stress_score"
"hpi",0.628182105812597,0.628182105812597,1,20.8583887891009,8.91533613567612,0.00708069449862948,"PAMM1","Angio_stress_score"
"infection:hpi",0.105097420876637,0.0350324736255456,3,19.0511526307771,0.497190663576657,0.688582645810824,"PAMM1","Angio_stress_score"
"infection",1.06654612438339,0.355515374794462,3,27.9999999994094,7.64347840374144,0.000696413182250018,"PV","Angio_stress_score"
"hpi",0.499045145645618,0.499045145645618,1,27.9999999994941,10.7293272349742,0.00281040038224444,"PV","Angio_stress_score"
"infection:hpi",0.0988787372686406,0.0329595790895469,3,27.9999999993877,0.708621479768654,0.554981739296396,"PV","Angio_stress_score"
"infection",0.134144296561805,0.0447147655206015,3,22.2883082489583,5.0471524139777,0.00810940979898842,"VCT","Angio_stress_score"
"hpi",0.00410298940375573,0.00410298940375573,1,19.4777157155662,0.463122474927205,0.504178263214039,"VCT","Angio_stress_score"
"infection:hpi",0.0105472481473556,0.00351574938245187,3,18.6330204722988,0.396838108754189,0.756805524068184,"VCT","Angio_stress_score"
"infection",0.0310079743356531,0.0103359914452177,3,21.825617384169,0.467078485326798,0.708241402582745,"VCT_CCC","Angio_stress_score"
"hpi",0.150354258037136,0.150354258037136,1,20.4149953676391,6.79443665163953,0.016708956371479,"VCT_CCC","Angio_stress_score"
"infection:hpi",0.223666552285719,0.074555517428573,3,19.6123344224809,3.36912799685082,0.0393367482763237,"VCT_CCC","Angio_stress_score"
"infection",0.0142384872687552,0.0047461624229184,3,22.6772471452271,0.334615478890656,0.80041650223825,"VCT_fusing","Angio_stress_score"
"hpi",0.018370888899344,0.018370888899344,1,20.5268154842782,1.29519035358279,0.268203161997993,"VCT_fusing","Angio_stress_score"
"infection:hpi",0.169327960991549,0.0564426536638497,3,18.2073894194719,3.97933823216594,0.0242396955055683,"VCT_fusing","Angio_stress_score"
"infection",0.0492673412532556,0.0164224470844185,3,21.6079940105509,1.52839156960403,0.235604657630193,"VCT_p","Angio_stress_score"
"hpi",0.00321523731973909,0.00321523731973909,1,19.4451911643133,0.299233213448925,0.590586789176784,"VCT_p","Angio_stress_score"
"infection:hpi",0.0101059114546739,0.00336863715155797,3,19.0006247569364,0.313509710034693,0.815394487070819,"VCT_p","Angio_stress_score"
"infection",0.0380360466002588,0.0126786822000863,3,20.6954163135929,1.10547755555406,0.36936387146742,"iEVT","Angio_stress_score"
"hpi",0.079795500800139,0.079795500800139,1,18.253124799937,6.95751607120095,0.0165864281817141,"iEVT","Angio_stress_score"
"infection:hpi",0.0768770286347662,0.0256256762115887,3,17.5677714228813,2.23434971006799,0.120097045513493,"iEVT","Angio_stress_score"
"infection",0.414030841870434,0.138010280623478,3,19.5630751443273,9.01294721742859,0.000591797567065631,"HBC_p","Angio_stress_score"
"hpi",0.0244225455719979,0.0244225455719979,1,18.6926043721681,1.59494722538964,0.222147860239598,"HBC_p","Angio_stress_score"
"infection:hpi",0.00537737753376955,0.00268868876688477,2,17.2451362566335,0.1755884404448,0.840444364929964,"HBC_p","Angio_stress_score"
