"celltype_author","refinement_action","n_cells"
"HBC","within_lineage_refine",39019
"Endo_f","within_lineage_refine",22140
"F","within_lineage_refine",20531
"VCT_fusing","within_lineage_refine",11832
"PV","kept_author",9572
"VCT","within_lineage_refine",7689
"PAMM1","within_lineage_refine",7645
"PV","filled_missing_with_prediction",3936
"VCT_fusing","filled_missing_with_prediction",3914
"VCT_fusing","kept_author",3835
"VCT_p","within_lineage_refine",3224
"PV","within_lineage_refine",3107
"F","filled_missing_with_prediction",2798
"VCT_CCC","within_lineage_refine",1953
"EVT_2","within_lineage_refine",1539
"F_p","within_lineage_refine",1506
"VCT_CCC","kept_author",1461
"PAMM1","filled_missing_with_prediction",1397
"EVT_2","kept_author",1295
"iEVT","within_lineage_refine",990
"HBC","filled_missing_with_prediction",898
"Endo_f","filled_missing_with_prediction",889
"VCT_CCC","filled_missing_with_prediction",846
"F_sm","within_lineage_refine",792
"F","kept_author",730
"EVT_2","filled_missing_with_prediction",676
"PAMM1","kept_author",602
"VCT_p","kept_author",490
"Endo_f","kept_author",473
"iEVT","kept_author",472
"iEVT","filled_missing_with_prediction",399
"VCT_p","filled_missing_with_prediction",378
"EVT_1","kept_author",332
"HBC_p","within_lineage_refine",296
"EVT_1","within_lineage_refine",288
"HBC","kept_author",240
"VCT","kept_author",233
"VCT","filled_missing_with_prediction",197
"EVT_1","filled_missing_with_prediction",125
"F_sm","filled_missing_with_prediction",61
"F_p","filled_missing_with_prediction",58
"VCT_CCC","cross_lineage_override_very_high_confidence",50
"F_p","kept_author",24
"VCT_p","cross_lineage_override_very_high_confidence",11
"F_sm","kept_author",10
"EVT_2","cross_lineage_override_very_high_confidence",6
"EVT_1","cross_lineage_override_very_high_confidence",5
"HBC_p","kept_author",4
"Endo_f","cross_lineage_override_very_high_confidence",3
"VCT_fusing","cross_lineage_override_very_high_confidence",3
"F_p","cross_lineage_override_very_high_confidence",1
"HBC_p","filled_missing_with_prediction",1
"VCT","cross_lineage_override_very_high_confidence",1
"iEVT","cross_lineage_override_very_high_confidence",1
