"sample_id","donor_id","infection","hpi","stage","n_cells","glyco","adhesion","innate"
"Hrv124|Pf|24h|Pf_24h","Hrv124","Pf","24h","Pf_24h",8212,0.216055595556507,0.439835653726899,0.720027143495054
"Hrv124|UI|24h|UI_24h","Hrv124","UI","24h","UI_24h",2519,0.248363058028226,0.440183270472205,0.555704946206147
"Hrv135|Lm|24h|Lm_24h","Hrv135","Lm","24h","Lm_24h",3964,0.289029006486078,0.547775445058954,0.520134262496847
"Hrv135|UI|24h|UI_24h","Hrv135","UI","24h","UI_24h",3361,0.288940437264021,0.492236018786766,0.459808472129333
"Hrv136|Lm|24h|Lm_24h","Hrv136","Lm","24h","Lm_24h",2956,0.234652132088418,0.481993358824646,0.47340664486028
"Hrv136|Lm|48h|Lm_48h","Hrv136","Lm","48h","Lm_48h",3514,0.237942587169084,0.438763602004388,0.575695453951553
"Hrv136|UI|24h|UI_24h","Hrv136","UI","24h","UI_24h",3091,0.240853421701301,0.474253397246134,0.389705993081587
"Hrv136|UI|48h|UI_48h","Hrv136","UI","48h","UI_48h",2076,0.238226415501075,0.428152693288703,0.503041974990639
"Hrv168|Pf|24h|Pf_24h","Hrv168","Pf","24h","Pf_24h",7112,0.218689137169363,0.422585218042128,0.487769605056284
"Hrv168|UI|24h|UI_24h","Hrv168","UI","24h","UI_24h",8657,0.2220778756486,0.372690045707805,0.245384352910902
"Hrv232|Pf|24h|Pf_24h","Hrv232","Pf","24h","Pf_24h",2376,0.202719506210311,0.529717040129448,0.371411909516845
"Hrv232|Pf|48h|Pf_48h","Hrv232","Pf","48h","Pf_48h",740,0.228335599844954,0.540863420272682,0.359360176296963
"Hrv232|UI|24h|UI_24h","Hrv232","UI","24h","UI_24h",2433,0.210565559753491,0.474553665417501,0.437230488268639
"Hrv232|UI|48h|UI_48h","Hrv232","UI","48h","UI_48h",1768,0.199798474243707,0.549084541938678,0.446968545885987
"Hrv236|Lm|24h|Lm_24h","Hrv236","Lm","24h","Lm_24h",10858,0.240861181829171,0.468376413521331,0.557144709084834
"Hrv236|Lm|48h|Lm_48h","Hrv236","Lm","48h","Lm_48h",6945,0.271021863154509,0.449571148744548,0.62425440185388
"Hrv236|Pf|24h|Pf_24h","Hrv236","Pf","24h","Pf_24h",9400,0.206933708644839,0.457997703524637,0.97869954294865
"Hrv236|Pf|48h|Pf_48h","Hrv236","Pf","48h","Pf_48h",118,0.229134671275614,0.433214229547371,0.411676917569967
"Hrv236|UI|24h|UI_24h","Hrv236","UI","24h","UI_24h",14671,0.246706408861426,0.442836309730451,0.641702062716279
"Hrv236|UI|48h|UI_48h","Hrv236","UI","48h","UI_48h",6310,0.25605728148668,0.423835062637937,0.614836495970451
"scDonor_Tg1|Tg|24h|Tg_24h","scDonor_Tg1","Tg","24h","Tg_24h",3722,0.248086030870873,0.461981438996463,0.758277954479571
"scDonor_Tg1|Tg|48h|Tg_48h","scDonor_Tg1","Tg","48h","Tg_48h",1762,0.226986533289333,0.425340306988839,0.39198225847518
"scDonor_Tg1|UI|24h|UI_24h","scDonor_Tg1","UI","24h","UI_24h",4235,0.200143249003148,0.477023702798303,0.318262331251195
"scDonor_Tg1|UI|48h|UI_48h","scDonor_Tg1","UI","48h","UI_48h",3223,0.216889394176667,0.418901886286079,0.359504198926799
"scDonor_Tg2|Tg|24h|Tg_24h","scDonor_Tg2","Tg","24h","Tg_24h",5144,0.255689532887058,0.471041068188728,0.643592605702664
"scDonor_Tg2|Tg|48h|Tg_48h","scDonor_Tg2","Tg","48h","Tg_48h",2169,0.240816477912235,0.436955086894898,0.483349343618125
"scDonor_Tg2|UI|24h|UI_24h","scDonor_Tg2","UI","24h","UI_24h",4324,0.243954413473433,0.480491685098358,0.561124956522182
"scDonor_Tg2|UI|48h|UI_48h","scDonor_Tg2","UI","48h","UI_48h",3031,0.237743483300323,0.443189168587961,0.401712017254895
"scDonor_Tg3|Tg|24h|Tg_24h","scDonor_Tg3","Tg","24h","Tg_24h",3549,0.23409993222632,0.41148551886969,0.425890183126283
"scDonor_Tg3|Tg|48h|Tg_48h","scDonor_Tg3","Tg","48h","Tg_48h",3822,0.220676158457017,0.341475742460194,0.464191175663461
"scDonor_Tg3|UI|24h|UI_24h","scDonor_Tg3","UI","24h","UI_24h",3522,0.231398056131208,0.386657641649517,0.361875273624872
"scDonor_Tg3|UI|48h|UI_48h","scDonor_Tg3","UI","48h","UI_48h",2652,0.230110748745796,0.354957135200366,0.603905559181501
"scDonor_Tg4|Tg|24h|Tg_24h","scDonor_Tg4","Tg","24h","Tg_24h",4391,0.246051252757559,0.424149686929184,0.466450243206001
"scDonor_Tg4|Tg|48h|Tg_48h","scDonor_Tg4","Tg","48h","Tg_48h",3539,0.229724099560119,0.387578729112036,0.406667334756926
"scDonor_Tg4|UI|24h|UI_24h","scDonor_Tg4","UI","24h","UI_24h",4531,0.25884415309445,0.412570297352179,0.45731015988125
"scDonor_Tg4|UI|48h|UI_48h","scDonor_Tg4","UI","48h","UI_48h",4281,0.221693818000139,0.384941914538331,0.410232158054825
